url,POSTING_CARD_GALLERY,price_value,price_type,expenses_value,expenses_type,square_meters_area,rooms,bedrooms,bathrooms,parking
/propiedades/clasificado/veclapin-venta-4-ambientes-chateau-puerto-madero-53174639.html,16,920000,USD,400000,$,200,4,3,2,1
/propiedades/clasificado/veclapin-apto-credito.-venta-depto-las-canitas-4-amb-mas-dep.-54185226.html,33,370000,USD,233000,$,110,5,4,3,1
/propiedades/clasificado/veclapin-apto-credito.-venta-3-ambientes-con-cochera-fija-y-54655054.html,30,154000,USD,170000,$,73,3,2,1,1
/propiedades/clasificado/veclapin-venta-depto-3-amb-mas-dependencia-balcon-las-canitas-55202254.html,30,168000,USD,425000,$,70,3,3,1,
/propiedades/clasificado/veclapin-apto-credito.-venta-3-amb-duplex-1-dorm-mas-escritorio-54155316.html,30,180000,USD,160000,$,65,3,1,1,
/propiedades/clasificado/veclapin-venta-departamento-2-ambientes-full-amenities-con-55514270.html,24,145000,USD,190000,$,58,2,1,2,1
/propiedades/clasificado/veclapin-apto-credito.-venta-departamento-semipiso-imprenta-55066208.html,17,298000,USD,300000,$,109,4,3,2,1
/propiedades/clasificado/alclapin-alquiler-monoambiente-full-amenities-en-belgrano-r-55306853.html,22,475000,$,130000,$,35,1,1,1,
/propiedades/clasificado/veclapin-venta-2-ambientes-belgrano-full-amenities-ant-y-cuotas-53362522.html,13,105000,USD,,,40,2,1,1,
/propiedades/clasificado/teclapin-aquiler-temporal-con-patio-proio-2-ambientes-en-las-55613741.html,21,600000,$,,,46,2,1,1,
/propiedades/clasificado/veclapin-venta-duplex-balcon-frente-terraza-propia-belgrano-r-a-53922433.html,21,269000,USD,,,144,3,2,2,
/propiedades/clasificado/veclapin-apto-credito.-venta-4-ambientes-duplex-dependencia-55403024.html,13,299000,USD,150000,$,140,4,3,2,
/propiedades/clasificado/veclapin-apto-credito.-venta-monoambiente-amplio-con-patio-54606835.html,17,95000,USD,40000,$,43,1,1,1,
/propiedades/clasificado/veclapin-3-ambientes-cochera-fija-cubierta-a-estrenar-full-53696358.html,14,225000,USD,,,78,3,2,1,1
/propiedades/clasificado/veclapin-venta-monoambiente-balcon-frente-belgrano-r-a-estrenar-55266786.html,12,97500,USD,,,40,1,1,1,
/propiedades/clasificado/veclapin-apto-credito.-venta-depto-semipiso-3-dorm.-55281216.html,25,173800,USD,100000,$,111,4,3,2,
/propiedades/clasificado/veclapin-venta-exclusivo-monoambiente-en-nunez-55256781.html,34,125000,USD,80000,$,46,1,1,1,
/propiedades/clasificado/vecllcin-venta-de-local-comercial-con-renta-en-belgrano-54927442.html,24,174000,USD,,,77,2,,1,
/propiedades/clasificado/veclapin-apto-credito-vista-abierta-luminoso-reciclado-55612151.html,29,87000,USD,127000,$,35,2,1,1,
/propiedades/clasificado/veclapin-apto-credito.-venta-departamento-3-ambientes-luminoso-55280766.html,18,110000,USD,80000,$,70,3,2,2,
/propiedades/clasificado/alclapin-alquiler-imprenta-palermo-amoblado-ambiente-divisible-53717898.html,6,500000,$,,,40,1,1,1,
/propiedades/clasificado/veclapin-venta-2-ambientes-al-frente-full-amenities-saavedra-54483709.html,21,149000,USD,,,51,2,1,1,1
/propiedades/clasificado/veclapin-departamento-en-barrio-norte-retiro-3-ambientes-52924572.html,25,149000,USD,195000,$,85,3,2,2,
/propiedades/clasificado/veclcain-casa-quinta-apto-credito-en-garin-6280-m-sup2--dos-54698499.html,48,160000,USD,,,6280,12,7,4,5
/propiedades/clasificado/alclapin-departamento-de-1-ambiente-a-estrenar-ubicado-con-55531828.html,23,590000,$,50000,$,36,1,1,1,
/propiedades/clasificado/veclapin-venta-3-ambientes-pozo-palermo-hollywood-pileta-53963950.html,15,198000,USD,,,90,3,2,2,
/propiedades/clasificado/alclapin-alquiler-2-ambientes-full-amenities-con-cochera-fija-55429499.html,32,950,USD,300000,$,48,2,1,2,1
/propiedades/clasificado/veclapin-apto-credito-oro-y-av-libertador-reciclada-3-55281276.html,12,175000,USD,90000,$,55,3,2,1,
/propiedades/clasificado/veclcain-venta-casa-c.-spegazzini-bo-la-gilera-3-ambientes-55545660.html,27,75000,USD,,,492,3,2,2,1
/propiedades/clasificado/veclapin-departamento-en-zona-premium-de-la-imprenta-planta-55561207.html,25,69000,USD,60000,$,45,2,1,1,
/propiedades/clasificado/veclapin-apto-credito.-venta-monoambiente-con-patio-bajas-54726537.html,17,95000,USD,40000,$,42,1,1,1,
/propiedades/clasificado/veclapin-venta-depto-3-ambientes-las-canitas-70-m-sup2-55233025.html,35,159800,USD,98000,$,70,3,2,1,
/propiedades/clasificado/veclapin-apto-credito.-venta-depto-balvanera-2-dorm-muy-53878645.html,18,74500,USD,40000,$,50,3,2,2,
/propiedades/clasificado/veclapin-venta-3-dorm.-con-patio-y-cochera-en-palermo-55584397.html,20,185000,USD,300000,$,107,4,3,2,1
/propiedades/clasificado/alclapin-alquiler-temporario-en-palermo-53929309.html,13,750,USD,,,35,1,,1,
/propiedades/clasificado/veclapin-venta-depto-semipiso-4-amb-dep-cochera-movil-belgrano-55599842.html,38,260000,USD,390000,$,112,4,3,1,1
/propiedades/clasificado/veclcain-venta-casa-4-ambientes-con-jardin-cochera-parrilla-en-54879012.html,24,400000,USD,,,1000,4,3,3,1
/propiedades/clasificado/alclapin-alquiler-tradicional-por-un-ano-amoblado-villa-55612154.html,26,475,USD,127000,$,35,2,1,1,
/propiedades/clasificado/veclapin-apto-credito.-piso-alto-vista-canitas-palermo-55065986.html,33,250000,USD,,,69,3,2,2,1
/propiedades/clasificado/veclapin-vista-torre-amenities-2-ambientes-bano-toilete-venta-54422509.html,14,139000,USD,174000,$,49,2,1,1,
/propiedades/clasificado/alclapin-alquiler-de-3-ambientes-contrafrente-silencioso-en-las-55333299.html,17,700000,$,135000,$,60,3,2,1,
/propiedades/clasificado/vecllcin-venta-local-microcentro-54687353.html,14,190000,USD,,,70,,,,
/propiedades/clasificado/veclapin-b-h-patio-balcon-4-ambientes-dep-cochera-venta-54171411.html,50,450000,USD,185000,$,341,4,3,2,1
/propiedades/clasificado/alclapin-alquiler-2-ambientes-full-amenities-con-cochera-fija-55382891.html,32,950,USD,300000,$,48,2,1,2,1
/propiedades/clasificado/alclapin-alquiler-tradicional-dos-ambientes-en-recoleta-55630742.html,24,850,USD,150000,$,39,2,1,1,
/propiedades/clasificado/teclapin-alquiler-temporal-amoblado-en-villa-urquiza-55612153.html,29,475,USD,127000,$,35,2,1,1,
/propiedades/clasificado/veclphin-venta-ph-a-nuevo-sin-exp-2-plantas-3-amb-3-patios-55281883.html,36,149500,USD,,,110,3,2,2,1
/propiedades/clasificado/veclapin-venta-2-ambientes-en-belgrano-55230033.html,14,87000,USD,85000,$,45,2,1,1,
/propiedades/clasificado/veclcain-casa-piscina-jardin-galeria-venta-3-dorm.-54167557.html,30,139800,USD,,,720,4,3,1,2
/propiedades/clasificado/veclapin-venta-depto-2-amb-las-canitas-muy-luminoso.-apto-55172506.html,17,85000,USD,125000,$,31,2,1,1,
/propiedades/clasificado/veclapin-apto-credito.-torre-full-amenities-piso-18-venta-1-52592695.html,17,139000,USD,174000,$,49,2,1,2,
/propiedades/clasificado/veclapin-apto-credito.-venta-depto-3-dorm-mas-dep-balcon-frente-52342257.html,43,275000,USD,180000,$,160,4,3,3,1
/propiedades/clasificado/veclapin-monoambiente-en-el-corazon-del-centro-porteno-55124399.html,16,46500,USD,110000,$,24,1,1,1,
/propiedades/clasificado/veclapin-venta-tres-ambientes-balcon-frente-en-edificio-en-pozo-55621800.html,10,226500,USD,,,75,3,2,2,
/propiedades/clasificado/veclapin-apto-credito.-venta-las-canitas-3-ambientes-seg.-55065951.html,25,228000,USD,124000,$,80,3,2,2,
/propiedades/clasificado/veclapin-excelente-monoambiente-en-nunez-55258253.html,13,109000,USD,90000,$,35,1,1,1,
/propiedades/clasificado/veclapin-apto-credito.-departamento-en-barrio-norte-retiro-52721845.html,25,149000,USD,195000,$,85,3,2,2,
/propiedades/clasificado/veclapin-apto-credito-piso-alto-2-dorm.-2-banos-cochera-51907715.html,42,225000,USD,176000,$,79,3,2,2,1
/propiedades/clasificado/veclapin-venta-dos-ambientes-balcon-terraza-en-edificio-en-pozo-55621790.html,10,224500,USD,,,54,2,1,1,
/propiedades/clasificado/veclapin-venta-2-ambientes-pozo-palermo-hollywood-pileta-53963925.html,14,117500,USD,,,56,2,1,1,
/propiedades/clasificado/alclapin-alquiler-2-ambientes-con-cochera-fija-cubieta-en-55502182.html,25,700000,$,180000,$,43,2,1,1,1
/propiedades/clasificado/veclapin-apto-credito.-venta-2-ambientes-amenities-luminoso-en-54321329.html,29,230000,USD,50000,$,60,2,1,2,
/propiedades/clasificado/veclapin-apto-credito.-departamento-en-colegiales-54726334.html,25,270000,USD,290000,$,66,2,1,2,1
/propiedades/clasificado/veclapin-ideal-inversion.-departamento-monoambiente-palermo-54535771.html,19,77000,USD,150000,$,30,1,1,1,
/propiedades/clasificado/alclapin-monoambiente-a-estrenar-con-balcon-en-el-limite-de-55510410.html,23,590000,$,50000,$,36,1,,1,
/propiedades/clasificado/vecllcin-local-el-garin-escobar-55491971.html,7,550000,USD,,,340,1,,2,
/propiedades/clasificado/veclapin-venta-2-ambientes-amplios-con-patio-en-recoleta-55265398.html,18,160000,USD,411500,$,86,2,1,1,
/propiedades/clasificado/veclapin-apto-credito.-venta-2-ambientes-departamento-en-55015779.html,14,74000,USD,92000,$,37,2,1,1,
/propiedades/clasificado/veclapin-apto-credito.-piso-alto-recoleta-venta-3-dorm.-2-51928493.html,24,250000,USD,420000,$,147,4,3,2,
/propiedades/clasificado/veclcain-venta-casa-v.-lopez-3-dorm-3-plantas-ascensor-cochera-54948620.html,34,850000,USD,,,562,6,3,2,1
/propiedades/clasificado/veclphin-venta-ph-3-dorm.-playroom-patio-cochera-en-coghlan-55551430.html,33,300000,USD,,,166,5,4,3,1
/propiedades/clasificado/veclcain-casa-4-dorm.-dep-coch-terraza-parrilla-patio-venta-55286006.html,50,500000,USD,,,215,5,4,2,1
/propiedades/clasificado/veclapin-frente-piso-alto-vista-venta-3-ambientes-2-dorm.-55599491.html,10,100000,USD,130000,$,73,3,2,1,
/propiedades/clasificado/veclapin-venta-penthouse-2-amb-balcon-pozo-palermo-hollywood-53963977.html,18,229900,USD,,,125,2,1,1,
/propiedades/clasificado/veclapin-venta-depto-2-amb-a-estrenar-villa-devoto-semipiso-53332499.html,21,140000,USD,25000,$,47,2,1,1,
/propiedades/clasificado/vecltrin-venta-terreno-en-villa-devoto.-54232899.html,3,225000,USD,,,118,,,,
/propiedades/clasificado/veclapin-venta-2-ambientes-y-medio-en-belgrano-totalmente-55457205.html,9,158000,USD,150000,$,60,2,1,1,
/propiedades/clasificado/veclbgin-venta-en-bloque-galpon-deposito-en-san-justo-10-m-x-43-53734459.html,17,450000,USD,,,450,,,1,
/propiedades/clasificado/veclocin-oficina-palermo-hollywood-46858844.html,24,185850,USD,,,63,,,,
/propiedades/clasificado/veclgain-cochera-oprtunidad-en-amenabar-entre-juramento-y-53495781.html,6,17000,USD,,,8,,,,
/propiedades/clasificado/vecllcin-venta-local-galeria-via-florencia-51752624.html,10,30000,USD,24000,$,22,1,,,
/propiedades/clasificado/veclgain-oportunidad-cochera-en-san-nicolas-53560898.html,11,8000,USD,33000,$,10,,,,1
/propiedades/clasificado/veclocin-oportunidad-venta-oficina-gran-oportunidad-en-54162110.html,4,20000,USD,100000,$,26,1,,1,
/propiedades/clasificado/veclphin-venta-ph-3-dorm.-playroom-patio-cochera-en-coghlan-55556800.html,33,300000,USD,,,166,5,4,3,1
/propiedades/clasificado/veclbgin-venta-edificio-en-block-en-chacarita-humbdoldt-al-0-48028568.html,2,1000,USD,,,830,,,,
/propiedades/clasificado/veclapin-departamento-nunez-46888688.html,34,130987,USD,,,45,1,1,1,
/propiedades/clasificado/veclphin-venta-ph-tipo-casa-excelente-estado-4-dorm.-54993827.html,26,120000,USD,,,130,6,4,2,1
/propiedades/clasificado/veclocin-oportunidad-oficina-con-renta-apto-financiacion-49996742.html,16,175000,USD,220000,$,263,6,5,1,
/propiedades/clasificado/veclapin-apto-credito.-piso-alto-recoleta-venta-3-dorm.-2-51751113.html,24,250000,USD,420000,$,147,4,3,2,
/propiedades/clasificado/veclapin-venta-con-importante-renta-hilton-pilar-golf-53597198.html,33,226000,USD,190000,$,90,2,1,2,1
/propiedades/clasificado/veclapin-venta-depto-3-amb-a-estrenar-patio-terraza-propia-53337324.html,16,207000,USD,25000,$,98,3,2,2,
/propiedades/clasificado/vecltrin-excelente-lote-en-esquina-pb-9-pisos-2-retiros-49759431.html,2,Consultar precio,,,,119,,,,
/propiedades/clasificado/veclapin-venta-monoambiente-pozo-palermo-hollywood-pileta-55266671.html,10,83000,USD,,,38,1,1,1,
/propiedades/clasificado/veclbgin-venta-en-bloque-galpon-deposito-en-san-justo-10-m-x-43-53898349.html,17,450000,USD,,,450,,,1,
/propiedades/clasificado/veclapin-venta-departamento-2-ambientes-full-amenities-con-55514273.html,24,145000,USD,190000,$,58,2,1,2,1
/propiedades/clasificado/veclapin-apto-credito.-venta-dpto.-4-amb.-caballito-norte-54713912.html,26,220000,USD,200000,$,112,4,3,3,
/propiedades/clasificado/alclapin-alquiler-imprenta-palermo-amoblado-ambiente-divisible-54462684.html,15,600000,$,,,45,1,1,1,
/propiedades/clasificado/vecllcin-importante-local-lote-propio-mejor-cuadra-de-palermo-50546315.html,11,1700,USD,,,260,,,,
/propiedades/clasificado/vecllcin-excelente-local-en-esquina-espacio-aereo-venta-49098091.html,2,Consultar precio,,,,119,,,,
/propiedades/clasificado/vecllcin-local-san-nicolas-51752410.html,10,30000,USD,24000,$,22,1,,,
/propiedades/clasificado/alclapin-alquiler-dos-ambientes-en-palermo-recoleta-amoblado-55631182.html,24,850,USD,150000,$,45,2,1,1,
/propiedades/clasificado/veclcain-apto-credito.-venta-casa-en-pinamar-parque-piscina-53612345.html,17,500000,USD,,,988,5,4,4,
/propiedades/clasificado/veclcain-oportunidad-venta-casa-3-amb-don-bosco-terraza-50259313.html,18,85000,USD,,,135,3,2,1,
/propiedades/clasificado/vecltrin-venta-edificio-en-block-en-chacarita-humbdoldt-al-0-46417917.html,2,1000,USD,,,1030,,,,
/propiedades/clasificado/veclapin-apto-credito.-venta-las-canitas-3-ambientes-seg.-52668345.html,25,228000,USD,124000,$,80,3,2,2,
/propiedades/clasificado/alclapin-alquiler-monoambiente-excelente-departamento-frente-55125297.html,16,450,USD,85000,$,38,1,1,1,
/propiedades/clasificado/veclapin-preventa-estudio-interno-34-m-sup2--primer-piso-55056195.html,17,80000,USD,,,34,1,1,1,
/propiedades/clasificado/veclapin-apto-credito.-departamento-en-san-nicolas-54767670.html,24,125000,USD,260000,$,87,5,4,3,
/propiedades/clasificado/teclapin-alquiler-amoblado-mono-ambiente-amenities-a-54990837.html,19,740,USD,,,43,1,,1,
/propiedades/clasificado/veclapin-departamento-en-colegiales-54597888.html,25,270000,USD,,,65,2,1,2,1
/propiedades/clasificado/vecllcin-local-retiro-posibilidad-de-financiacion-46417913.html,4,20000,USD,95000,$,19,,,1,
/propiedades/clasificado/vecltrin-venta-lote-monte-castro-1100-m-vendibles-16.50-m-2-54520587.html,5,430000,USD,,,433,,,,
/propiedades/clasificado/veclapin-departamento-palermo-hollywood-46898528.html,29,111320,USD,,,46,1,1,1,
/propiedades/clasificado/veclapin-apto-credito.-excelente-vista-al-mar-2-ambientes-en-52957900.html,13,56000,USD,,,37,2,1,1,
/propiedades/clasificado/alclapin-alquiler-amoblado-mono-ambiente-amenities-a-54990838.html,19,740,USD,,,43,1,,1,
/propiedades/clasificado/veclcain-casa-4-ambientes-parque-cochera-zona-golf-villa-gesell-52924540.html,19,265000,USD,,,1150,4,3,2,2
/propiedades/clasificado/veclgain-oportunidad-cochera-en-almagro-53248153.html,4,11000,USD,7000,$,8,,,,1
/propiedades/clasificado/vecltrin-oportunidad-venta-parcela-40x50-mariano-acosta-50259533.html,7,12500,USD,,,2000,,,,
/propiedades/clasificado/veclocin-corrientes-1100-oficina-en-microcentro-zona-de-55510406.html,29,135000,USD,720000,$,149,6,,3,
/propiedades/clasificado/veclocin-oficina-en-venta-zona-tribunales-5-ambientes-al-55015421.html,25,125000,USD,260000,$,87,5,4,2,
/propiedades/clasificado/veclcain-pilar-del-este-venta-casas-a-estrenar-51751107.html,14,185000,USD,9600,$,641,4,3,2,2
/propiedades/clasificado/vecledin-venta-edificio-en-block-en-chacarita-humbdoldt-al-0-48028580.html,2,1000,USD,,,1030,,,,
/propiedades/clasificado/veclphin-ph-5-amb-palermo-soho-sin-expensas-totalmente-a-nuevo-55561202.html,34,268000,USD,,,140,5,4,2,
/propiedades/clasificado/vecllcin-local-venta-con-renta-a-m-de-av-san-martin-apto-53512761.html,12,89000,USD,26000,$,33,1,,1,
/propiedades/clasificado/veclapin-apto-credito.-venta-3-ambientes-en-vicente-lopez-54791647.html,21,170000,USD,$ 1 Expensas,,70,3,2,1,
/propiedades/clasificado/vecltrin-excelente-lote-en-esquina-pb-9-pisos-2-retiros-49098074.html,2,Consultar precio,,,,119,,,,
/propiedades/clasificado/vecledin-edificio-en-bloque-1.678-m-cubiertos-21-dptos-mas-2-46501247.html,16,2500,USD,,,1678,,,,
/propiedades/clasificado/vecltrin-venta-10-hectareas-mariano-acosta-excelente-acceso-50259538.html,7,335000,USD,,,100000,,,,
/propiedades/clasificado/vecllcin-local-coghlan-posibilidad-de-financiacion-49775633.html,8,100000,USD,6000,$,29,,,1,
/propiedades/clasificado/veclapin-excelente-3-ambientes-preventa-palermo-soho-52040393.html,18,235200,USD,,,98,3,2,2,
/propiedades/clasificado/vecltrin-oportunidad-venta-hectarea-mariano-acosta-excelente-50259537.html,7,40000,USD,,,10000,,,,
/propiedades/clasificado/vecllcin-excelente-local-en-esquina-espacio-aereo-venta-49098094.html,2,Consultar precio,,,,119,,,,
/propiedades/clasificado/veclphin-oportunidad-venta-ph-3-amb-merlo-norte-reciclado-a-53929372.html,15,48000,USD,,,158,3,2,1,1
/propiedades/clasificado/vecllcin-venta-local-microcentro-52573447.html,14,190000,USD,,,70,,,,
/propiedades/clasificado/vecltrin-excelente-lote-en-esquina-pb-9-pisos-2-retiros-49098067.html,2,Consultar precio,,,,119,,,,
/propiedades/clasificado/alclapin-boulevard-cervino-palermo-chico-vista-unica-54779352.html,16,750,USD,160000,$,55,2,1,1,
/propiedades/clasificado/veclphin-venta-ph-3-amb-merlo-norte-reciclado-a-nuevo-parrilla-50916433.html,15,48000,USD,,,158,3,2,1,1
/propiedades/clasificado/veclapin-apto-credito.-venta-departamento-semipiso-imprenta-54631470.html,16,298000,USD,300000,$,109,4,3,2,1
/propiedades/clasificado/veclgain-cochera-retiro-microcentro-san-nicolas-46425846.html,4,9000,USD,1800,$,13,,,,
/propiedades/clasificado/teclapin-alquiler-temporal-opcion-amoblado-depto-las-canitas-4-54206101.html,31,3000,USD,260000,$,110,5,4,3,1
/propiedades/clasificado/veclocin-oportunidad-oficina-con-renta-apto-financiacion-50460113.html,25,175000,USD,220000,$,263,6,5,1,
/propiedades/clasificado/veclbgin-venta-edificio-en-block-en-chacarita-humbdoldt-al-0-48028635.html,2,1000,USD,,,1030,,,,
/propiedades/clasificado/veclbgin-venta-galpon-industria-villa-martelli-con-local-a-m-av-55507921.html,15,330000,USD,,,550,,,2,
/propiedades/clasificado/vecltrin-excelente-lote-en-esquina-pb-9-pisos-2-retiros-49098076.html,2,Consultar precio,,,,119,,,,
/propiedades/clasificado/veclapin-3-ambientes-piso-alto-balcon-nunez-muy-55189549.html,18,148000,USD,90000,$,55,3,2,1,
/propiedades/clasificado/vecltrin-oportunidad-lote-1080-m-sup2--estancia-villa-maria-53982206.html,27,39900,USD,170000,$,1120,,,,
/propiedades/clasificado/vecllcin-excelente-lote-en-esquina-pb-9-pisos-2-retiros-49098088.html,2,Consultar precio,,,,119,,,,
/propiedades/clasificado/veclcain-casa-4-dorm-venta-barrio-privado-los-robles-ing.-54991078.html,42,290000,USD,90000,$,1384,5,4,2,2
/propiedades/clasificado/veclapin-venta-monoambiente-balcon-en-edificio-en-pozo-pileta-54360895.html,10,107000,USD,,,35,1,1,1,
/propiedades/clasificado/teclcain-alquiler-quinta-casa-en-villa-de-mayo-55514267.html,10,900,USD,,,1160,3,2,1,
/propiedades/clasificado/vecltrin-venta-6600-m-sup2--mariano-acosta-excelente-acceso-55265515.html,7,10500,USD,,,6600,,,,
/propiedades/clasificado/vecllcin-local-venta-con-renta-a-m-av-san-martin-apto-todo-54990839.html,12,89000,USD,26000,$,33,1,,1,
/propiedades/clasificado/veclapin-aptocredito.-departamento-2-ambientes-con-cochera-gran-54200586.html,10,50000,USD,5000,$,50,2,1,1,1
/propiedades/clasificado/vecltrin-terreno-en-monte-castro-54689559.html,2,520000,USD,,,344,,,,
/propiedades/clasificado/veclgain-cochera-fija-cubierta-en-villa-crespo-55307275.html,6,20500,USD,30000,$,12,,,,1
/propiedades/clasificado/veclcain-aptocredito.-casa-dos-plantas-garin-6280-m-sup2--dos-51931973.html,48,160000,USD,,,6280,12,7,4,5
/propiedades/clasificado/alcllcin-importante-local-lote-propio-apto-todo-destino.-53175389.html,11,8000,USD,,,260,,,,
/propiedades/clasificado/veclcain-oportunidad-venta-casa-en-complejo-3-amb-con-patio-50259520.html,10,15000,USD,,,106,3,2,1,
/propiedades/clasificado/alcllcin-importante-local-lote-propio-apto-todo-destino.-53175379.html,10,8000,USD,,,260,,,,
/propiedades/clasificado/veclgain-cochera-retiro-microcentro-san-nicolas-46424545.html,4,9000,USD,1800,$,11,,,,
/propiedades/clasificado/alclbgin-alquiler-galpon-en-caseros-55342221.html,8,1700,USD,,,300,,,1,
/propiedades/clasificado/vecllcin-excelente-local-en-esquina-espacio-aereo-venta-49759414.html,2,Consultar precio,,,,119,,,,
/propiedades/clasificado/alclocin-espectacular-oficina-a-estrenar-448-m-sup2--53928816.html,27,9400,USD,,,448,10,,3,18
/propiedades/clasificado/veclapin-oportunidad-en-la-costa-departamento-2-ambientes-a-m-54200572.html,6,49000,USD,,,35,1,,1,1
